TypeDoc	TypeJP	Depart	DateRetour	Chalut	Casier	Nasse	Pots	tremail tremail	Turlutte	qseqdebut	qseqfin	Date Jour	NPage	Esp1	Esp2	Esp3	Esp4	Esp5	Esp6	Esp7	Esp8	Esp9	Esp10	Esp11	Esp12	Esp13	Esp14	Esp15	Esp16	PREFIXE
V	V	V	V	V	V	V	V	V	V	V	V	23/09/2016	PE2401	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2405.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2401	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	330.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2402	1150.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	315.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	26/09/2016	PE2402	1100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1780.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	27/09/2016	PE2402	1580.0	30.0	0.0	0.0	420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	28/09/2016	PE2402	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2880.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	29/09/2016	PE2402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2925.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	30/09/2016	PE2403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7235.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	01/10/2016	PE2403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5100.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	02/10/2016	PE2403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4745.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	03/10/2016	PE2403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2930.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	04/10/2016	PE2403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6595.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	05/10/2016	PE2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2260.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	06/10/2016	PE2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8150.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	07/10/2016	PE2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3170.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	08/10/2016	PE2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7675.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	09/10/2016	PE2404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5315.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	10/10/2016	PE2405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1905.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	11/10/2016	PE2405	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1150.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	12/10/2016	PE2405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	13/10/2016	PE2405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2245.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	14/10/2016	PE2405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	915.0	0.0	PE
Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin	Fin
MARREE	HAUTIRIERE	20/09/2016	15/10/2016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	PE2451	PE2456	20/09/2016	PE2451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	21/09/2016	PE2451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2195.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	22/09/2016	PE2451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	23/09/2016	PE2451	0.0	0.0	0.0	0.0	0.0	1635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	660.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	24/09/2016	PE2451	1060.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1105.0	0.0	PE
V	V	V	V	V	V	V	V	V	V	V	V	25/09/2016	PE2452	930.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1225.0	0.0	PE
